id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
5483,No candidate mentioned,1,yes,1,Negative,0.6404,Immigration,0.6629,,samuelwonacott,,7,,,RT @PeterBeinart: make Planned Parenthood pay for the wall with Mexico #GOPDebate,,07/08/2015 08:34,6.30E+17,"Boise, ID",Mountain Time (US & Canada)
5484,John Kasich,0.6156,yes,1,Negative,0.3844,None of the above,1,,BGDTootSweet,,0,,,"The winners of the GOP Debates: Kasich,  Fiorina, Clinton, Sanders, O'Donnell, and Kelly. #GOPDebate",,07/08/2015 08:34,6.30E+17,San Francisco,Cairo
5485,No candidate mentioned,1,yes,1,Negative,0.6631,None of the above,1,,Typicalblkchick,,0,,,So who won last nights  #GOPDebate?....Hilary Clinton by a long shot!,,07/08/2015 08:34,6.30E+17,"Georgia, USA",Eastern Time (US & Canada)
5486,Donald Trump,0.4173,yes,0.646,Negative,0.3286,None of the above,0.4173,,francesdumlao,,20,,,"RT @nowthisnews: Last night's #GOPDebate was, unsurprisingly, a complete circus. And @realDonaldTrump was the ringleader. http://t.co/bigYh…",,07/08/2015 08:34,6.30E+17,"New York, USA",Atlantic Time (Canada)
5487,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,brianpinaire,,0,,,"Last night there were 4 blue ties, 5 red ties and 1 striped tie, with 7 blue suits and 3 gray suits. These are bold men. Discuss. #GOPDebate",,07/08/2015 08:34,6.30E+17,"Portland, Oregon",
5488,Rand Paul,1,yes,1,Negative,1,None of the above,1,,James_Diaz821,,1,,,RT @ChrisCamps76: .@RandPaul rolled his eyes when @ChrisChristie mentioned how he hugged 9/11 victims. Goodbye Rand. Lost respect for him. …,,07/08/2015 08:34,6.30E+17,New York,Eastern Time (US & Canada)
5489,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,MiladyMell,,1,,,"RT @pipnice1: I never laughed so much during a debate. Anyone else notice the ""times up"" buzzer sounded like Price is right sound? #GOPDeba…",,07/08/2015 08:34,6.30E+17,"The Duke City, New Mexico",Mountain Time (US & Canada)
5490,No candidate mentioned,1,yes,1,Neutral,0.6542,None of the above,0.6653,,anita_oh,,0,,,So there's this #GOPDebate #CNN http://t.co/rtKzReN0pK,,07/08/2015 08:34,6.30E+17,,Eastern Time (US & Canada)
5491,Donald Trump,1,yes,1,Negative,1,Women's Issues (not abortion though),1,,akkisf,,0,,,"It's disturbing to watch #Trump being applauded after he admits calling women fat, pigs, disgusting animals. #GOPDebate #Election2016 #WoW",,07/08/2015 08:34,6.30E+17,San Francisco CA,Quito
5492,No candidate mentioned,1,yes,1,Negative,0.7079,None of the above,1,,Cluw_girl,,18,,,RT @SarahWoodwriter: This pretty much sums up the first #GOPDebate... http://t.co/f6GADlinpn,,07/08/2015 08:34,6.30E+17,,
5493,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,jaysays,,0,,,I'm baffled that after the #GOPDebate there are people still intending to vote for one of them. #smh,,07/08/2015 08:34,6.30E+17,Texas,Central Time (US & Canada)
5494,No candidate mentioned,1,yes,1,Positive,0.6437,None of the above,0.6552,,RuthSherman,,0,,,#GOPDebate score with @cmarinucci  https://t.co/sIsBsJPUbF,,07/08/2015 08:34,6.30E+17,Greenwich & LA,Eastern Time (US & Canada)
5495,Ben Carson,0.2438,yes,0.6705,Positive,0.3636,None of the above,0.4495,,USA141640,,0,,,"#GOPDebate I loved Walker nodding along to Carson's responses. Carson speaks common sense, sadly that is an uncommon trait.",,07/08/2015 08:34,6.30E+17,The Shadow of Mt. Rainier,Pacific Time (US & Canada)
5496,No candidate mentioned,0.6978,yes,1,Neutral,1,None of the above,1,,jfmusy,,0,,,"""Here's how much each candidate spoke throughout the #GOPDebate: http://t.co/aqbdkVhnMb http://t.co/BycUI5nKiX""",,07/08/2015 08:34,6.30E+17,In my head...,Central Time (US & Canada)
5497,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,jfmusy,,0,,,"""What were the hardest-hitting questions in the #GOPDebate? JasonBellini takes look: http://t.co/4zXywLiB2i""",,07/08/2015 08:34,6.30E+17,In my head...,Central Time (US & Canada)
5498,No candidate mentioned,1,yes,1,Negative,0.6782,None of the above,1,,KenSimonSays,,0,,,This looks like the saddest reboot of Ocean's Eleven where Schwarzenegger couldn't make the presser #GOPDebate. https://t.co/Sz7lU417B2,,07/08/2015 08:34,6.30E+17,,Eastern Time (US & Canada)
5499,Donald Trump,1,yes,1,Neutral,0.6489,None of the above,1,,iChinadian,,0,,,Republican presidential debate: How Donald Trump's performance may stall campaign   http://t.co/slCaguepIS #US #USA #USpoli #GOP #GOPdebate,,07/08/2015 08:34,6.30E+17,"Vancouver 溫哥華, Canada 加拿大",Pacific Time (US & Canada)
5500,No candidate mentioned,1,yes,1,Negative,0.6805,FOX News or Moderators,1,,_ARCHAEOPTERYX_,,8,,,RT @JoePrich: .@megynkelly remember when you scolded Candy Crowley for doing exactly what you did tonight? #GOPDebate #Shill http://t.co/0s…,,07/08/2015 08:34,6.30E+17,Salisbury.,Central Time (US & Canada)
5501,Ben Carson,1,yes,1,Positive,0.6848,None of the above,0.663,,ssc9470,,0,,,"#BenCarson gets ? about ""waterboarding"". Really Ms. Kelly? The man is brilliant and made his own moments. Be a great president! #GOPDebate",,07/08/2015 08:34,6.30E+17,,
5502,Donald Trump,1,yes,1,Negative,1,None of the above,1,,TeamMaleficentx,,6,,,RT @brittparker88: Trump is a joke. I hate that people are supporting him. #gopdebate,,07/08/2015 08:34,6.30E+17,The Moors of Central PA,Eastern Time (US & Canada)
5503,Ted Cruz,0.4123,yes,0.6421,Neutral,0.3263,,0.2298,,mirolove1012,,13,,,"RT @Sarhan_: So, @Tedcruz remarks about #Sisi in #GOPDebate will make the front page of every newspaper in #Egypt: https://t.co/5H5PRwi7jU",,07/08/2015 08:34,6.30E+17,,
5504,Ben Carson,1,yes,1,Negative,0.3478,Foreign Policy,1,,Chillax,,0,,,#GOPDebate I really like Dr. Ben Carson but I am not sure he really has what it takes to handle the foreign policy,,07/08/2015 08:34,6.30E+17,,Pacific Time (US & Canada)
5505,No candidate mentioned,0.437,yes,0.661,Negative,0.661,None of the above,0.437,,dwagner,,4,,,RT @LadySandersfarm: Any of the ppl in the #GOPDebate could do better than this. Democrats are killing this country. Dems' #WarOnWomen http…,,07/08/2015 08:34,6.30E+17,Illinois USA,Central Time (US & Canada)
5506,No candidate mentioned,0.4642,yes,0.6813,Neutral,0.6813,None of the above,0.4642,,GinaSpadafori,,0,,,Whose #GOPDebate tweets did I LOL at most? @JayHovdey's. #horselaughs,,07/08/2015 08:34,6.30E+17,Sacramento,Pacific Time (US & Canada)
5507,No candidate mentioned,0.4542,yes,0.6739,Negative,0.3478,None of the above,0.4542,,ventytre,,28,,,RT @AndrewCryer1: I think that @BernieSanders won the #GOPDebate with #DebateWithBernie. Who ever thought of that idea deserves a golden st…,,07/08/2015 08:34,6.30E+17,,
5508,Jeb Bush,0.6608,yes,1,Neutral,0.6608,None of the above,1,,superfanboy108,,0,,,"Big losers of the #GOPDebate; #JebBush, #ChrisChristie, #TheDonald. They all did terrible! #Cruz and #Paul were great. #Rubio was good.",,07/08/2015 08:34,6.30E+17,"Bartlesville, OK",Central Time (US & Canada)
5509,No candidate mentioned,0.4721,yes,0.6871,Neutral,0.3442,None of the above,0.4721,,Jenn4Bernie2016,,1,,,RT @tantan73: Here's the Vine of @BernieSanders dictating his Tweets during #GOPDebate. #DebateWithBernie #FeelTheBern   https://t.co/oejx7…,,07/08/2015 08:34,6.30E+17,NJ/NY,
5510,Donald Trump,0.4444,yes,0.6667,Negative,0.3563,None of the above,0.4444,,iChinadian,,0,,,"As Canadian leaders debated, Trump was producing the wildest show in politics http://t.co/MejxXpzG1V #US #USA #USpoli #GOP #GOPdebate",,07/08/2015 08:34,6.30E+17,"Vancouver 溫哥華, Canada 加拿大",Pacific Time (US & Canada)
5511,No candidate mentioned,1,yes,1,Positive,1,None of the above,0.6552,,spooningstiles,,24,,,RT @Ornyadams: FYI I'll be live tweeting Teen Mom 2 on @MTV after this. What a night of great TV! #GOPDebate,,07/08/2015 08:34,6.30E+17,,Eastern Time (US & Canada)
5512,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,JeffMHarrington,,0,,,ICYMI: A scorecard breaking down the #GOPDebate via @adamsmithtimes @KirbyWilson88 #watercoolerrecap #jebio http://t.co/TWQfwv60GU,,07/08/2015 08:34,6.30E+17,"Tampa Bay, FL",Eastern Time (US & Canada)
5513,Donald Trump,1,yes,1,Positive,1,None of the above,1,,K4RJC,,4,,,"RT @Gdestefano95: #GOPDebate  
TRUMP PROVED HE'S GOT BALLS TO WEILD U.S. POWER!  He'll assemble a killer team &amp; GET IT DONE! 

@realDonaldT…",,07/08/2015 08:34,6.30E+17,,
5514,No candidate mentioned,1,yes,1,Neutral,1,Jobs and Economy,1,,allDigitocracy,,0,,,@etammykim 5. What questions shld journos ask candidates when it comes to reporting on poverty? #TalkPoverty #GOPDebate,,07/08/2015 08:34,6.30E+17,"Washington, DC",
5515,No candidate mentioned,1,yes,1,Neutral,0.6667,None of the above,1,,joy_lyon123,,1,,,"RT @Chris_R0bbins: The #GOPDebate last night got above a 15 rating last night, triple the highest debate in 2011-2012. That may be good new…",,07/08/2015 08:34,6.30E+17,,
5516,No candidate mentioned,1,yes,1,Negative,0.7079,Religion,1,,Natalie_Kendall,,5,,,"RT @PresidentCam: ""Please just leave me out of this"" - God #GOPDebate",,07/08/2015 08:34,6.30E+17,"Melrose, MA",Quito
5517,Jeb Bush,1,yes,1,Negative,0.6705,None of the above,0.6818,,Kate42148864,,122,,,RT @ThePatriot143: Hey Jeb #CommonCore is ALL about dumbing down our children! Who are you trying to FOOL? #GOPDebate,,07/08/2015 08:34,6.30E+17,Cheyenne Wyoming ,
5518,No candidate mentioned,1,yes,1,Negative,0.6665,FOX News or Moderators,1,,Lady_Battle,,0,,,It's really distracting that the little Fox/Facebook panels aren't all at the same height. #GOPDebate,,07/08/2015 08:34,6.30E+17,Minnesota,Central Time (US & Canada)
5519,No candidate mentioned,1,yes,1,Neutral,0.6966,None of the above,0.6742,,JSavoly,,0,,,"The real winner of the ""kids' table"" #GOPdebate? Dick Cheney http://t.co/zMwOlH7vWe #UnitedBlue #Hillary2016 #MorningJoe",,07/08/2015 08:34,6.30E+17,Right behind you ,
5520,Donald Trump,0.3819,yes,0.618,Negative,0.618,,0.2361,,pale_chicksrule,,3,,,"RT @marty_allen: When Fox News knows you're full of shit (Donald Trump), you know you hecked up. #GOPDebate",,07/08/2015 08:34,6.30E+17,The South ,Eastern Time (US & Canada)
5521,Scott Walker,1,yes,1,Negative,1,None of the above,1,,amandaclockwood,,1,,,Scott Walker &amp; Droopy Dog... definitely related. #GOPDebate http://t.co/HccDkmV1WG,,07/08/2015 08:34,6.30E+17,"iPhone: 38.321358,-75.123428",Eastern Time (US & Canada)
5522,No candidate mentioned,0.664,yes,1,Neutral,0.685,None of the above,1,,whatjuliawhat,,2,,,RT @brendanbiles: we are ready #GOPDebate #Trump2016 http://t.co/qZwlCJCiE2,,07/08/2015 08:34,6.30E+17,,Atlantic Time (Canada)
5523,Jeb Bush,1,yes,1,Negative,0.6667,None of the above,0.6667,,maureen_grogan,,9,,,"RT @LiberalMmama: 15 yr old son watching news heard ""Jeb Bush act of love ? during debate"" and asked me ""was that when he gave W. 2000 elec…",,07/08/2015 08:34,6.30E+17,,
5524,No candidate mentioned,0.4211,yes,0.6489,Neutral,0.6489,,0.2278,,allDigitocracy,,0,,,@Marisol_Bello 5. What questions shld journos ask candidates when it comes to reporting on poverty? #TalkPoverty #GOPDebate,,07/08/2015 08:34,6.30E+17,"Washington, DC",
5525,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,politicswarblog,,0,,,My take on the #GOPDebate? It was entertaining at least. I still want to learn a lot more about the candidates though http://t.co/I6cYU0nw0k,,07/08/2015 08:34,6.30E+17,Wisconsin ,
5526,Donald Trump,1,yes,1,Negative,0.6778,FOX News or Moderators,0.3556,,CaroleGilman,,195,,,"RT @jjauthor: I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate @jgkight  http://t.c…",,07/08/2015 08:34,6.30E+17,,Atlantic Time (Canada)
5527,No candidate mentioned,1,yes,1,Neutral,0.6724,Racial issues,1,,michaeldbirch,,0,,,@deray The #GOPDebate didn't discuss issues of racism cuz that's what racists do. Their honest answers wouldn't play well w/ most voters.,,07/08/2015 08:34,6.30E+17,,Central Time (US & Canada)
5528,Ted Cruz,0.4293,yes,0.6552,Negative,0.3563,None of the above,0.4293,,CABird6,,31,,,RT @TheBaxterBean: WHY IS IT TAKING SO LONG FOR TED CRUZ TO RENOUNCE HIS CANADIAN CITIZENSHIP? http://t.co/6d6xVAfpf1 #GOPDebate http://t.c…,,07/08/2015 08:34,6.30E+17,"Los Angeles, CA",
5529,Donald Trump,0.4171,yes,0.6458,Neutral,0.3333,None of the above,0.4171,,FrankLuntz,,12,,,"My focus group actually likes Donald Trump as a person and a businessman… But not as a candidate.  #GOPDebate

http://t.co/Gn6vDezXtx",,07/08/2015 08:34,6.30E+17,All over,Pacific Time (US & Canada)
5530,Scott Walker,0.6921,yes,1,Neutral,0.6595,None of the above,0.6595,,exlibinsf,,144,,,"RT @ShannonBream: ""Russian and Chinese govts probably know more about Hillary's email than Congress does.""  - says @GovWalker #GOPdebate",,07/08/2015 08:34,6.30E+17,fabulous United States,Pacific Time (US & Canada)
5531,No candidate mentioned,0.4259,yes,0.6526,Neutral,0.6526,None of the above,0.4259,,billdublin,,1,,,RT @SueSwyt: Things I shouldn't want according to #GOPdebate but do: #Obamahugs #teachers #government,,07/08/2015 08:34,6.30E+17,,
5532,No candidate mentioned,1,yes,1,Negative,0.6754,None of the above,0.6418,,Nymdok,,11,,,"RT @FakeLouHoltzKSR: WHO NEEDSH THE LUCK OF THE IRITHSH?! #Holtz2016 #GOPDebate 

@katienolan @kathleenmadigan http://t.co/YJJpYZuUuE",,07/08/2015 08:34,6.30E+17,Houston,Eastern Time (US & Canada)
5533,Donald Trump,0.4495,yes,0.6705,Negative,0.6705,Immigration,0.2438,,DRamirezEditor,,2,,,RT @lesleyabravanel: Stupid! Mexico smart. America stupid. Rosie O' is a pig. If it weren't for Trump I'd be sober now. Pass the tequila. #…,,07/08/2015 08:34,6.30E+17,Miami,Hawaii
5534,No candidate mentioned,1,yes,1,Positive,0.3697,None of the above,0.6303,,lostintho_ught,,0,,,@notaxation Thank you for your thoughts on the #GOPDebate. How long would you think some of the round 1 candidates will hang around?,,07/08/2015 08:34,6.30E+17,In the Rain,Pacific Time (US & Canada)
5535,No candidate mentioned,1,yes,1,Negative,0.6653,None of the above,0.6653,,sweetbilly2515,,1,,,RT @Ben_Herring1017: Saying you're a Cold War vet is like saying you were a player in a really big game that got rained out #GOPDebate,,07/08/2015 08:34,6.30E+17,,Eastern Time (US & Canada)
5536,Mike Huckabee,1,yes,1,Negative,1,None of the above,0.3708,,Gamma_Male,,0,,,"Stop the world, I want to get off: http://t.co/zqyseSaT8J #GOPDebate",,07/08/2015 08:34,6.30E+17,"London, UK",Casablanca
5537,,0.2271,yes,0.6512,Neutral,0.6512,None of the above,0.424,,ericdeamer,,0,,,Scott walkers security detail at Slymans. #GOPDebate http://t.co/vSvv00RjjS,,07/08/2015 08:34,6.30E+17,"Lakewood, OH",Eastern Time (US & Canada)
5538,No candidate mentioned,1,yes,1,Negative,0.6983,None of the above,1,,TJ_Fixman,,0,,,Was going to finish the #GOPDebate on my DVR this AM but then remembered it's early and I haven't had my coffee and I want to keep my soul.,,07/08/2015 08:33,6.30E+17,"Los Angeles, CA",Pacific Time (US & Canada)
5539,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,vasowofology,,0,,,The fight for the Republican Party #GOPDebate | #GOPDebate | https://t.co/lzi7ErbxZe,,07/08/2015 08:33,6.30E+17,London,
5540,No candidate mentioned,0.4258,yes,0.6526,Negative,0.3474,None of the above,0.4258,,LadyLiberty1885,,0,,,"I know someone has the finalized amount of time each candidate had to speak, send it to me pls!
#GOPDebate",,07/08/2015 08:33,6.30E+17,United States,Eastern Time (US & Canada)
5541,No candidate mentioned,0.4259,yes,0.6526,Neutral,0.6526,None of the above,0.4259,,jydewiqupys,,0,,,• Col Allen West on the 2016 GOP Debate • Greta • 8 5 15 • | #GOPDebate | https://t.co/5J8dQvApmv,,07/08/2015 08:33,6.30E+17,Kansas-City,
5542,Marco Rubio,1,yes,1,Neutral,0.6395,None of the above,1,,TroyKinsey,,0,,,Interesting #GOPDebate Friday analysis contrast between nat'l chattering class &amp; FL politicos. Far fewer @marcorubio mentions outside of FL.,,07/08/2015 08:33,6.30E+17,"Tallahassee, FL",Quito
5543,Ted Cruz,1,yes,1,Negative,1,FOX News or Moderators,1,,NaplesQueen,,80,,,"RT @RonSantoFan: Fox News has made it loud and clear that core Conservatives are not welcomed.

Cruz was snubbed tonight.

Very poor.

#GOP…",,07/08/2015 08:33,6.30E+17,"Naples, Florida~Pittsburgh, PA",Quito
5544,Donald Trump,1,yes,1,Positive,0.3388,FOX News or Moderators,1,,GodsDontExist,,0,,,@megynkelly @BretBaier @FoxNewsSunday Ppl say @realDonaldTrump needs specifics. Yet u gave THOSE type questions ONLY to opponents #GOPDebate,,07/08/2015 08:33,6.30E+17,"PDX, Oregon ☂  ",Pacific Time (US & Canada)
5545,No candidate mentioned,1,yes,1,Negative,0.6212,Religion,0.6769,,peggebeen,,1,,,RT @MakeeshaThomas: @peggebeen A leader with integrity is what this country should beg God for. Can we get one upright?!!! @sortaricanrara …,,07/08/2015 08:33,6.30E+17,,
5546,Donald Trump,1,yes,1,Negative,0.6815,None of the above,0.6492,,exlibinsf,,106,,,RT @jjauthor: Obama doesn't negotiate with terrorists - he sets them free and finances them! @realDonaldTrump #GOPDebate,,07/08/2015 08:33,6.30E+17,fabulous United States,Pacific Time (US & Canada)
5547,No candidate mentioned,1,yes,1,Negative,0.6942,None of the above,1,,e_revolutionist,,0,,,So much better to follow Twitter last night than the actual #GOPDebate. We'd elect any one of our tweeps over the 18 Republican candidates,,07/08/2015 08:33,6.30E+17,Utah,Quito
5548,No candidate mentioned,1,yes,1,Negative,0.6444,Racial issues,1,,luasol38,,6,,,"RT @BlacknBklyn: @TheRoot based on last nights #GOPdebate, not people's mindset. When #BlackLivesMatter was brought up, the answer wasn't d…",,07/08/2015 08:33,6.30E+17,,Pacific Time (US & Canada)
5549,Chris Christie,1,yes,1,Negative,1,None of the above,1,,Johnisnotamused,,0,,,Christie's closing statement destroyed all of my good will towards him. #GOPDebate,,07/08/2015 08:33,6.30E+17,literally anywhere else,Quito
5550,No candidate mentioned,0.4074,yes,0.6383,Neutral,0.3404,None of the above,0.4074,,katjimaya,,500,,,RT @deray: Hillary Clinton is getting a lot of free PR from candidates today at the #GOPDebate.,,07/08/2015 08:33,6.30E+17,,Pacific Time (US & Canada)
5551,John Kasich,0.6667,yes,1,Negative,0.6667,Abortion,1,,slo220,,0,,,2013: Kasich signed into law a budget where rape crisis centers lose public funding if they counseled rape victims abt abortion. #GOPDebate,,07/08/2015 08:33,6.30E+17,,Central Time (US & Canada)
5552,No candidate mentioned,1,yes,1,Negative,1,Foreign Policy,0.6667,,glolizabeth,,78,,,"RT @LegalizeNegroes: ""WE DON'T NEED A PRESIDENT WHO CANT SAY EXTREMIST ISLAMIC TERRORIST!"" 

But you can't call Dylan Roof a ""White Terrori…",,07/08/2015 08:33,6.30E+17,,Eastern Time (US & Canada)
5553,No candidate mentioned,1,yes,1,Negative,1,Jobs and Economy,0.3638,,derekxmarley,,0,,,"""Yay money!! No brown people!! Gays bad!! Haha women!! Terrorists 👎!! God 👍!!""  #GOPDebate @GOP",,07/08/2015 08:33,6.30E+17,,Central Time (US & Canada)
5554,Rand Paul,1,yes,1,Positive,0.3455,Religion,0.6899,,smifflerrr,,41,,,"RT @comcatholicgrl: ""When the government tries to invade the Church, it's time to resist"" -@RandPaul #GOPDebate",,07/08/2015 08:33,6.30E+17,,
5555,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,federicobettin,,0,,,"At certain (not rare) moments the #GOPDebate seemed for pres elec in middle ages. Seriously, u r welcome to the 21th century, plz come in,",,07/08/2015 08:33,6.30E+17,Milano (Italy),Amsterdam
5556,Donald Trump,1,yes,1,Negative,1,FOX News or Moderators,1,,mrcapitalist,,0,,,Fox News Tries to Trip Trump in 1st GOP Debate for 2016 #MegynKelly #DonaldTrump #GOPDebate http://t.co/8yQYzaCdIT,,07/08/2015 08:33,6.30E+17,"Detroit, MI",Quito
5557,Donald Trump,0.3779,yes,0.6147,Negative,0.6147,None of the above,0.3779,,RioSmythe,,0,,,@SpeakerBoehner You too lie Mr. Speaker that's why we like @realDonaldTrump @RealBenCarson and @CarlyFiorina #GOPDebate,,07/08/2015 08:33,6.30E+17,,
5558,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,Kazport,,69,,,RT @JoeTheMailman: #GOPdebate ~ OMG !!! Now @megynkelly seeks approval from Liberal quack--&gt; Debbie Wasserman Schultz??? http://t.co/ZjrbnU…,,07/08/2015 08:33,6.30E+17, New York,Eastern Time (US & Canada)
5559,Rand Paul,1,yes,1,Positive,0.6287,None of the above,1,,Chillax,,0,,,#GOPDebate OMG my dream ticket would be a #RandPaul / #CarlyFiorina ticket... I don't care which is POTUS and which is Vice.,,07/08/2015 08:33,6.30E+17,,Pacific Time (US & Canada)
5560,Chris Christie,1,yes,1,Negative,1,None of the above,1,,racists_suck,,2,,,"RT @FreedomJames7: Chris Christie Is A Loser.
#GOPDebate",,07/08/2015 08:33,6.30E+17,,Pacific Time (US & Canada)
5561,Donald Trump,1,yes,1,Positive,0.6899,None of the above,0.6492,,IrishChrissyND,,1,,,"RT @ElizabethND04: I wish @CarlyFiorina was putting these dudes, especially Trump and Christie, in their places. #GOPDebate #FoxDebate  htt…",,07/08/2015 08:33,6.30E+17,,Eastern Time (US & Canada)
5562,John Kasich,0.4041,yes,0.6357,Positive,0.6357,None of the above,0.4041,,PartesanJournal,,0,,,I have seen far better Political Debates but last night's #GOPDebate Winner was John Kasich who looked Presidential...perception matters!,,07/08/2015 08:33,6.30E+17,GOD Help America!,Eastern Time (US & Canada)
5563,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,Bigwilliestyle,,7,,,"RT @SFriedScientist: Oh shit, guys, while these chumps are all in the same place, quick, build a wall around the #GOPDebate. There can be a…",,07/08/2015 08:33,6.30E+17,,Pacific Time (US & Canada)
5564,No candidate mentioned,1,yes,1,Negative,0.3468,FOX News or Moderators,1,,NASCARNAC,,0,,,Media continues to praise last night's Fox News hit job on specific candidates: http://t.co/qD3LBg4vDF #GOPDebate #tcot,,07/08/2015 08:33,6.30E+17,"South Florida, Nevada ✅",Eastern Time (US & Canada)
5565,No candidate mentioned,1,yes,1,Positive,1,None of the above,1,,jpelzer,,0,,,16% of U.S. homes with TV sets watched last night's #GOPDebate - more than 3x highest-rated debates for 2012 election http://t.co/ele3LMeoxo,,07/08/2015 08:33,6.30E+17,"Columbus, Ohio",Mountain Time (US & Canada)
5566,No candidate mentioned,0.4241,yes,0.6513,Neutral,0.3487,None of the above,0.4241,,VickiMcKenna,,1,,,RT @TamraTellsIt: I would think this is what we'd get from left wing MSM #fail #GOPDebate  https://t.co/BJNBMyNPuW,,07/08/2015 08:33,6.30E+17,Milwaukee/Madison/statewide,Central Time (US & Canada)
5567,Donald Trump,1,yes,1,Negative,1,None of the above,0.6292,,tarunshri,,0,,,#GOPDebate only @realDonaldTrump and @BenCarson2016 got personal stupid questions. Total #gop establishment hitjob. #Trump2016,,07/08/2015 08:33,6.30E+17,USA,Eastern Time (US & Canada)
5568,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,chuckyducky669,,22,,,"RT @JJPatriot: What a disaster @megynkelly was at the #GOPDebate 

Sad. 

One more reason not to watch @FoxNews",,07/08/2015 08:33,6.30E+17,The Republic of Texas,
5569,Donald Trump,0.6517,yes,1,Positive,0.6517,Healthcare (including Medicare),0.6517,,pastwarranty,,0,,,#Trump2016's healthcare answer actually made some sense. #GOPDebate,,07/08/2015 08:33,6.30E+17,"New York, NY",Eastern Time (US & Canada)
5570,Chris Christie,1,yes,1,Negative,1,None of the above,0.6629,,IrishChrissyND,,1,,,RT @ElizabethND04: Kind of grossed out by Christie using 9/11 to help his cause.  It feels weird &amp; wrong; something about the way he's doin…,,07/08/2015 08:33,6.30E+17,,Eastern Time (US & Canada)
5571,No candidate mentioned,0.4444,yes,0.6667,Negative,0.6667,None of the above,0.2444,,SonarJose,,0,,,"MK: ""Mr. Simpson, you've stalked and savagely murdered women..""
O.J.: ""Only my ex-wife.""
*audience roars with laughter, applause*
#GOPDebate",,07/08/2015 08:33,6.30E+17,,Quito
5572,Donald Trump,1,yes,1,Positive,0.6966,FOX News or Moderators,1,,_EOD,,0,,,"#Trump must be doing something right to have Lame-Stream Media FOX - Karl Rove - NEWS come out swinging at him. 
#GOPDebate @realDonaldTrump",,07/08/2015 08:33,6.30E+17,,Eastern Time (US & Canada)
5573,Marco Rubio,1,yes,1,Negative,1,None of the above,0.6322,,IamTay,,70,,,"RT @ReformedBroker: Rubio just blamed Dodd-Frank for wiping out banks. He has that chronology disease from Memento, you guys. 

#GOPDebate",,07/08/2015 08:33,6.30E+17,Planet Earth,Eastern Time (US & Canada)
5574,No candidate mentioned,0.3652,yes,0.6043,Negative,0.6043,None of the above,0.3652,,aspexit,,0,,,"I was watching a great show about the male psyche &amp; how it created a violent, greedy, cruel society; then I realized it was the #GOPDebate.",,07/08/2015 08:33,6.30E+17,"Rhode Island, USA",Eastern Time (US & Canada)
5575,Donald Trump,1,yes,1,Positive,1,None of the above,1,,kiona123,,0,,,"I'm still for @realDonaldTrump, @JebBush reminds me of Jimmy Carter n a bit like @JohnKerry , which is fine, we just need tuffer #GOPDebate",,07/08/2015 08:33,6.30E+17,Location now Los Angeles,
5576,Ted Cruz,1,yes,1,Negative,0.6484,Immigration,1,,johnblakeart,,189,,,RT @megynkelly: .@tedcruz:  Our leaders don’t want to enforce the immigration laws #GOPDebate,,07/08/2015 08:33,6.30E+17,NM ✪Republic of Texas Expat,Mountain Time (US & Canada)
5577,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,electricmed,,0,,,Rainbow wigs on fire. floppy shoes thrown asunder. Never slow to gawk at a car wreck. Unless its a #ClownCarWreck #GOPDebate,,07/08/2015 08:33,6.30E+17,Fort Collins,Arizona
5578,No candidate mentioned,0.4516,yes,0.672,Neutral,0.672,None of the above,0.4516,,seankennedyDC,,9,,,RT @newtgingrich: I am. Today at 1pm ET. http://t.co/0Ml1P6dqQ8 #gopdebate  https://t.co/d3fmROuyYD,,07/08/2015 08:33,6.30E+17,DC,Eastern Time (US & Canada)
5579,No candidate mentioned,0.6333,yes,1,Negative,1,None of the above,0.6667,,IrishChrissyND,,1,,,"RT @ElizabethND04: Amen, @ChrisRBarron. He has not lived up to the promises he made to my state. #GOPDebate #FOXNEWSDEBATE #FoxDebate  http…",,07/08/2015 08:33,6.30E+17,,Eastern Time (US & Canada)
5580,No candidate mentioned,1,yes,1,Neutral,0.6588,None of the above,0.6824,,FotiosT,,0,,,"The only people who care about Saul Alinsky are paranoid conservatives. Does even one liberal care about the ""Alinsky Model""? #GOPDebate",,07/08/2015 08:33,6.30E+17,Banks of the Old Raritan,Eastern Time (US & Canada)
